date,debt_consolidation_ews,small_business_ews,home_improvement_ews,medical_ews,credit_card_ews,debt_consolidation_flag,small_business_flag,home_improvement_flag,medical_flag,credit_card_flag,macro_norm,macro_score
2015-01-01,0.18006608729859255,0.15183419747350899,0.25560956555946196,0.27858707147895684,0.14459527984517626,0,0,0,0,0,0.05420248532722645,-0.2945936570609555
2015-02-01,0.1732526402203244,0.1259161811120352,0.24022123925414074,0.23771422355651717,0.16850854084144232,0,0,0,0,0,0.0196999235321772,-0.3617026357855775
2015-03-01,0.1395441608809582,0.07366110062040013,0.20544305667115842,0.2240050578989055,0.1967081360362377,0,0,0,0,0,0.03791319723345147,-0.3262770287079049
2015-04-01,0.22493536373241488,0.11965196782591128,0.2440174893362796,0.2772894353154078,0.1343539972727875,0,0,0,0,0,0.0405992788962546,-0.32105248340508286
2015-05-01,0.25020383475439545,0.24770530536807378,0.3762562847198887,0.42793237873023676,0.24048644345004744,0,0,0,0,0,0.3419303943394043,0.2650496018679759
2015-06-01,0.11366459627329205,0.19658774373259041,0.2682539682539683,0.2861878453038672,0.1894285714285715,0,0,0,0,0,0.0,-0.4000198412455865
2015-07-01,0.24785534154377156,0.22983102451406504,0.2719840509985679,0.2969292408608848,0.19152055893507577,0,0,0,0,0,0.2533728259091181,0.09280129140932791
2015-08-01,0.1589927920238832,0.14162830474901672,0.3498571812578375,0.386620533007377,0.24905241935307562,0,0,0,0,0,0.2600596198112604,0.10580739548879924
2015-09-01,0.23042634064768772,0.2627171242252581,0.3882161957201513,0.38271435409952514,0.23666857667253244,0,0,0,0,0,0.3559571559670451,0.29233226143500435
2015-10-01,0.20293778062119444,0.21968266375066026,0.35801887102837165,0.4218814510511728,0.2591458551553558,0,0,0,0,0,0.2750074950312468,0.13488166093248316
2015-11-01,0.3211504542686284,0.23394392820416354,0.3808726764908505,0.3891259870231666,0.2511218828400569,0,0,0,0,0,0.2939475642429995,0.17172091679193544
2015-12-01,0.35112302365301207,0.37822859641378637,0.42566581178275675,0.4420507543417324,0.32505470067164566,1,1,1,0,1,0.5319224659648284,0.6345924192476105
2016-01-01,0.2518816605293498,0.29277942692669234,0.3365866294734492,0.4289603469162274,0.29502948661630635,1,1,1,0,1,0.35485943082648,0.2901971384391741
2016-02-01,0.25265802956785277,0.3474594102145768,0.37728708408821165,0.4846722020396278,0.3444505761517036,1,1,1,1,1,0.42784072609354484,0.4321489222071716
2016-03-01,0.3128757882926321,0.34800312613584716,0.5229948359116795,0.48473845601165333,0.30207578829263204,0,1,1,1,1,0.5143323278744371,0.6003788379523045
2016-04-01,0.5071428571428572,0.4762534818941504,0.6525793650793651,0.6593922651933701,0.5602857142857144,1,1,1,1,1,1.0,1.5450235188173576
2016-05-01,0.38220030360569535,0.36936963179476423,0.45412059346076766,0.4942580572860767,0.4496872601274344,1,1,1,1,1,0.6189324360328715,0.803830583787733
2016-06-01,0.46244961310291655,0.3417799215857623,0.5169009588586101,0.48505736506750247,0.4783533398109912,1,1,1,1,1,0.7223119209560492,1.0049081645042872
2016-07-01,0.7198447069536056,0.6883694651674155,0.7013491928059177,0.9110714150281398,0.7610714150281399,1,1,1,1,1,0.7776785375703495,1.1125986345190826
2016-08-01,0.6761799832289246,0.7222694484445857,0.7285954421661228,0.938912902483583,0.7097129024835831,1,1,1,1,1,0.8472822562089575,1.2479808852927965
2016-09-01,0.7786006324361558,0.7341351140015809,0.7657728201518219,0.9451378995169012,0.746452185231187,1,1,1,1,1,0.8628447487922529,1.278250608157964
2016-10-01,0.7676732397922064,0.8296803679432123,0.8778095406893768,0.9740396994195355,0.7201539851338212,1,1,1,1,1,0.9350992485488387,1.4187887431441808
2016-11-01,0.5648723272285066,0.6657905957106602,0.5728864749165673,0.8345928241229165,0.6501356812657737,1,1,1,1,1,0.5864820603072911,0.7407131959511453
2016-12-01,0.5527095872633158,0.5296739378576166,0.567607792922391,0.7751474754620735,0.5138903326049308,1,1,1,1,1,0.4378686886551839,0.4516537442026475
2017-01-01,0.3222589797812173,0.29957627765834305,0.36494358985713155,0.36695073709908543,0.310808669222211,1,1,1,1,1,0.4277359587698131,0.4319451452197956
2017-02-01,0.32591055094032745,0.24169434477759102,0.42111413962217703,0.4397660294757242,0.3760776316856691,1,1,1,1,1,0.43919407921417275,0.4542316863088988
2017-03-01,0.25582579447361337,0.2917310436993785,0.32995450392840986,0.3480330797417922,0.357033869007775,1,0,0,0,1,0.3804418153765802,0.3399559856429233
2017-04-01,0.33413314891539836,0.27909867600064214,0.3573733145468684,0.405798071189857,0.241339981213535,1,0,0,0,1,0.3770642387481234,0.3333864526486396
2017-05-01,0.24567031702177966,0.2386807929815713,0.4449111727843745,0.3649442781075351,0.3116460934192953,1,0,1,0,1,0.3736866621196666,0.32681691965435594
2017-06-01,0.32854506629088054,0.3077905982204986,0.35324313392373063,0.33917227537773365,0.25601773709833375,1,0,1,0,1,0.444615771317263,0.4647771125343202
2017-07-01,0.3124286374583465,0.3952148880855201,0.5089866084728392,0.40112025751256564,0.3036913703776012,1,1,1,0,1,0.49865699737257446,0.5698896404428643
2017-08-01,0.2371457692243753,0.22142469273516258,0.31860712188138,0.412091292713617,0.31501347108772937,1,1,1,0,1,0.38381939200503745,0.3465255186372079
2017-09-01,0.34955428408670264,0.2535844143657733,0.45209051597076044,0.4651693110246936,0.3078095635898082,1,1,1,1,1,0.4412381946888062,0.45820757954003655
2017-10-01,0.10083756139808604,0.11504368953179084,0.2470677201282448,0.10083756139808604,0.1325518471123717,1,0,1,1,1,0.2520939034952151,0.09031373186013025
2017-11-01,0.15059129162912874,0.13661873155023455,0.22242531509358687,0.1305602357285075,0.1305602357285075,1,0,1,1,1,0.32640058932126875,0.23484345773437915
2017-12-01,0.18571808856508124,0.16568703266446,0.16568703266446,0.1844715630512001,0.18128703266446,0,0,0,0,0,0.41421758166114997,0.40565131558576356
2018-01-01,0.30185182688648027,0.2757707095661114,0.3836668717450034,0.43855483982357923,0.31376052253865416,0,0,0,0,1,0.42097273491806403,0.4187903815743318
2018-02-01,0.127624265427442,0.19498853643559078,0.4044272329912791,0.3497069839340133,0.24429072505477106,0,0,0,0,1,0.2858696697797849,0.15600906180297058
2018-03-01,0.2306660611241209,0.20586502650414457,0.2993168547749144,0.3709383578881302,0.30772320398126357,0,0,0,0,1,0.22845086709601617,0.044327000900141855
2018-04-01,0.661755590979328,0.7118831883426042,0.6991261913934068,0.7265071437743591,0.5969071437743592,1,1,1,1,1,0.3162678594358979,0.2151348587515272
2018-05-01,0.6581228424015705,0.711619010155338,0.6988233254933578,0.7373153889854215,0.6279439604139929,1,1,1,1,1,0.34328847246355365,0.2676911227057993
2018-06-01,0.7346133276826559,0.6972177845071683,0.6110022165715446,0.7346133276826559,0.6500990419683701,1,1,1,1,1,0.33653331920663954,0.254552056717231
2018-07-01,0.6319894010032637,0.7386664196368041,0.6620791180495024,0.7386664196368041,0.6148949910653757,1,1,1,1,1,0.34666604909201043,0.27426065570008296
2018-08-01,0.7353140649339143,0.6906033000417879,0.6798879089642799,0.7616339407103117,0.6466053692817404,1,1,1,1,1,0.40408485177577913,0.3859427166029117
2018-09-01,0.6153102049337121,0.6734284249721211,0.6287850151476528,0.7089437453063829,0.5514008881635257,1,1,1,1,1,0.2723593632659573,0.12973092982583506
2018-10-01,0.6646905715367519,0.7227328819573478,0.7075822209501406,0.7292092050771248,0.6800092050771249,1,1,1,1,1,0.323023012692812,0.2282739247400955
