date,UNRATE,DRCCLACBS,FEDFUNDS,UMCSENT,macro_score
2015-01-01,1.7317784511228858,-1.1610509100320532,-0.6346675454986042,-1.6943920514424222,-0.2945936570609555
2015-02-01,0.9168238858885855,-1.1610509100320532,-0.6346675454986042,-0.8075050972140818,-0.3617026357855775
2015-03-01,0.5093466032714372,-1.1610509100320532,-0.6346675454986042,-0.019161137899996333,-0.3262770287079049
2015-04-01,0.5093466032714372,-0.6966305460192196,-0.3525930808325581,-0.9717434220711826,-0.32105248340508286
2015-05-01,1.3243011685057338,-0.6966305460192196,-0.3525930808325581,0.7363351564426662,0.2650496018679759
2015-06-01,0.10186932065428526,-0.6966305460192196,-0.07051861616651162,-1.0374387520140191,-0.4000198412455865
2015-07-01,-0.30560796196286305,0.6966305460192402,-0.07051861616651162,-0.052008802871414614,0.09280129140932791
2015-08-01,-0.713085244580015,0.6966305460192402,0.21155584849953485,0.34216317678562347,0.10580739548879924
2015-09-01,-1.1205625271971633,0.6966305460192402,0.21155584849953485,1.8860034304423714,0.29233226143500435
2015-10-01,-1.1205625271971633,1.1610509100320738,-0.3525930808325581,0.9662688112426082,0.13488166093248316
2015-11-01,-0.713085244580015,1.1610509100320738,-0.3525930808325581,0.5392491666141471,0.17172091679193544
2015-12-01,-1.1205625271971633,1.1610509100320738,3.0,0.11222952198568614,0.6345924192476105
2016-01-01,-1.9355170924314635,0.6966305460192402,3.0,0.3093155118142052,0.2901971384391741
2016-02-01,-1.5280398098143115,0.6966305460192402,3.0,0.4078585067284647,0.4321489222071716
2016-03-01,-1.1205625271971633,0.6966305460192402,3.0,0.6377921615284067,0.6003788379523045
2016-04-01,-0.713085244580015,3.0,3.0,1.2947454609568096,1.5450235188173576
2016-05-01,-1.9355170924314635,3.0,3.0,-0.5775714424141398,0.803830583787733
2016-06-01,-1.5280398098143115,3.0,3.0,-0.1833994627570971,1.0049081645042872
2016-07-01,-1.9355170924314635,3.0,3.0,0.9662688112426082,1.1125986345190826
2016-08-01,-1.5280398098143115,3.0,3.0,1.0319641411854494,1.2479808852927965
2016-09-01,-1.1205625271971633,3.0,3.0,0.5720968315855655,1.278250608157964
2016-10-01,-1.5280398098143115,3.0,3.0,1.8860034304423714,1.4187887431441808
2016-11-01,-2.3429943750486117,3.0,3.0,-0.2819424576713566,0.7407131959511453
2016-12-01,-2.3429943750486117,3.0,3.0,-1.727239716413845,0.4516537442026475
2017-01-01,-2.3429943750486117,3.0,3.0,-1.8257827113281047,0.4319451452197956
2017-02-01,-2.7504716576657637,3.0,3.0,-1.1031340819568605,0.4542316863088988
2017-03-01,-3.0,3.0,3.0,-1.300220071785384,0.3399559856429233
2017-04-01,-3.0,3.0,3.0,-1.3330677367568025,0.3333864526486396
2017-05-01,-3.0,3.0,3.0,-1.3659154017282207,0.32681691965435594
2017-06-01,-3.0,3.0,3.0,-0.6761144373283994,0.4647771125343202
2017-07-01,-3.0,3.0,3.0,-0.15055179778567881,0.5698896404428643
2017-08-01,-3.0,3.0,3.0,-1.2673724068139611,0.3465255186372079
2017-09-01,-3.0,3.0,3.0,-0.7089621022998176,0.45820757954003655
2017-10-01,-3.0,3.0,3.0,-2.548431340699349,0.09031373186013025
2017-11-01,-3.0,3.0,3.0,-1.8257827113281047,0.23484345773437915
2017-12-01,-3.0,3.0,3.0,-0.9717434220711826,0.40565131558576356
2018-01-01,-3.0,3.0,3.0,-0.9060480921283414,0.4187903815743318
2018-02-01,-3.0,3.0,3.0,-2.2199546909851473,0.15600906180297058
2018-03-01,-3.0,3.0,3.0,-2.778364995499291,0.044327000900141855
2018-04-01,-3.0,3.0,3.0,-1.9243257062423642,0.2151348587515272
2018-05-01,-3.0,3.0,3.0,-1.6615443864710038,0.2676911227057993
2018-06-01,-3.0,3.0,3.0,-1.727239716413845,0.254552056717231
2018-07-01,-3.0,3.0,3.0,-1.6286967214995856,0.27426065570008296
2018-08-01,-3.0,3.0,3.0,-1.070286416985442,0.3859427166029117
2018-09-01,-3.0,3.0,3.0,-2.351345350870825,0.12973092982583506
2018-10-01,-3.0,3.0,3.0,-1.8586303762995229,0.2282739247400955
2018-11-01,-3.0,3.0,3.0,-1.4973060616139031,0.3005387876772195
2018-12-01,-3.0,3.0,3.0,-1.7600873813852633,0.24798252372294738
